Datasize,Insertion Sort Time,Selection Sort Time,Python Sort Time,Quick Sort Time
4825,1.768,2.233,0.0,0.028
8222,5.525,9.557,0.001,0.046
8274,6.992,9.219,0.001,0.103
4503,3.263,3.363,0.0,0.034
1311,0.442,0.315,0.0,0.009
6321,6.049,7.545,0.0,0.058
1935,1.437,1.005,0.0,0.019
6723,5.402,5.35,0.001,0.056
1257,0.168,0.405,0.0,0.009
2028,0.371,0.586,0.0,0.013
5319,3.056,4.263,0.0,0.036
2902,1.204,1.165,0.001,0.047
2499,0.799,0.815,0.0,0.013
9284,9.931,13.484,0.002,0.069
4078,3.108,2.74,0.0,0.05
9589,9.031,13.618,0.001,0.069
2811,1.055,0.985,0.0,0.016
75,0.001,0.001,0.0,0.0
4274,2.003,3.012,0.0,0.027
1375,0.523,0.405,0.001,0.006
7048,5.181,6.462,0.001,0.062
7503,7.651,9.568,0.001,0.089
5057,3.444,2.934,0.002,0.029
256,0.006,0.008,0.0,0.002
983,0.102,0.195,0.0,0.005
7840,9.206,9.137,0.002,0.088
2026,0.932,0.736,0.0,0.077
