Datasize,Insertion Sort Time,Selection Sort Time,Python Sort Time,Quick Sort Time
9749491,nan,nan,1.205,92.878
80348212,nan,nan,9.168,nan
35499897,nan,nan,3.796,nan
29189306,nan,nan,3.089,nan
60855342,nan,nan,6.767,nan
53719117,nan,nan,5.852,nan
48270820,nan,nan,5.237,nan
91746386,nan,nan,10.965,nan
89379054,nan,nan,10.087,nan
79259191,nan,nan,8.911,nan
83110259,nan,nan,9.426,nan
69164,nan,nan,0.005,nan
83607,nan,nan,0.006,nan
83755,nan,nan,0.006,nan
91692,nan,nan,0.007,nan
58904,nan,nan,0.004,nan
12737,nan,nan,0.001,nan
10287,nan,nan,0.001,nan
93714,nan,nan,0.007,nan
92090,nan,nan,0.007,nan
20818,nan,nan,0.001,nan
44386,nan,nan,0.003,nan
47745,nan,nan,0.003,nan
97679,nan,nan,0.007,nan
60027,nan,nan,0.004,nan
29396,nan,nan,0.002,nan
78566,nan,nan,0.005,nan
74503,nan,nan,0.005,nan
72603,nan,nan,0.005,nan
31078,nan,nan,0.002,nan
16684,nan,nan,0.001,nan
57351,nan,nan,0.004,nan
60566,nan,nan,0.004,nan
66111,nan,nan,0.005,nan
19667,nan,nan,0.001,nan
62931,nan,nan,0.004,nan
62302,nan,nan,0.004,nan
60877,nan,nan,0.004,nan
62245,nan,nan,0.004,nan
21799,nan,nan,0.001,nan
44507,nan,nan,0.003,nan
67814,nan,nan,0.005,0.398
43159,nan,nan,0.003,0.247
41147,nan,nan,0.003,0.224
22156,nan,nan,0.001,0.115
55016,nan,nan,0.004,0.34
80875,nan,nan,0.006,0.48
59265,nan,nan,0.004,0.333
64450,nan,nan,0.004,0.371
19813,nan,nan,0.002,0.106
10191,nan,nan,0.001,0.073
10147,nan,nan,0.001,0.051
70823,nan,nan,0.005,0.446
82485,nan,nan,0.006,0.513
14379,nan,nan,0.001,0.074
68013,nan,nan,0.005,0.425
10136,nan,nan,0.001,0.05
60103,nan,nan,0.004,0.344
94672,nan,nan,0.007,0.588
89204,nan,nan,0.006,0.514
66882,nan,nan,0.005,0.389
98826,nan,nan,0.007,0.605
74957,nan,nan,0.005,0.446
59348,nan,nan,0.004,0.366
82111,nan,nan,0.006,0.519
30701,nan,nan,0.002,0.167
99456,nan,nan,0.007,0.622
63066,nan,nan,0.004,0.381
77917,nan,nan,0.005,0.484
38976,nan,nan,0.003,0.214
57979,nan,nan,0.004,0.351
72459,nan,nan,0.005,0.46
51406,nan,nan,0.003,0.315
78599,nan,nan,0.006,0.46
14750,nan,nan,0.001,0.082
11861,nan,nan,0.001,0.057
80202,nan,nan,0.006,0.49
18603,nan,nan,0.001,0.106
73122,nan,nan,0.005,0.445
14011,nan,nan,0.001,0.072
87199,nan,nan,0.006,0.547
79534,nan,nan,0.005,0.492
81655,nan,nan,0.006,0.468
49739,nan,nan,0.003,0.289
56030,nan,nan,0.004,0.322
97021,nan,nan,0.007,0.578
87540,nan,nan,0.006,0.541
40230,nan,nan,0.003,0.241
18214,nan,nan,0.001,0.095
14103,nan,nan,0.001,0.074
53368,nan,nan,0.003,0.308
46566,nan,nan,0.003,0.259
91502,nan,nan,0.007,0.57
14729,13.803,17.702,0.002,0.075
82987,nan,nan,0.006,0.502
34772,nan,nan,0.002,0.203
42030,nan,nan,0.003,0.241
48994,nan,nan,0.009,0.295
25937,nan,nan,0.002,0.44
31755,nan,nan,0.002,0.177
56615,nan,nan,0.004,0.348
87738,nan,nan,0.006,0.531
29881,nan,nan,0.006,0.194
14990,nan,nan,0.001,0.087
84166,nan,nan,0.006,0.507
59033,nan,nan,0.004,0.335
68761,nan,nan,0.005,0.397
78809,nan,nan,0.005,0.473
53557,nan,nan,0.004,0.317
77415,nan,nan,0.005,0.461
13844,nan,nan,0.001,0.069
44068,nan,nan,0.003,0.251
17370,nan,nan,0.001,0.099
57329,nan,nan,0.004,0.346
37157,nan,nan,0.002,0.209
18639,nan,nan,0.001,0.1
68529,nan,nan,0.005,0.401
64321,nan,nan,0.004,0.383
20594,nan,nan,0.001,0.113
78429,nan,nan,0.006,0.492
84525,nan,nan,0.006,0.554
16618,nan,nan,0.001,0.087
40541,nan,nan,0.003,0.232
24471,nan,nan,0.002,0.133
67852,nan,nan,0.005,0.414
83878,nan,nan,0.006,0.528
29995,nan,nan,0.002,0.177
82745,nan,nan,0.006,0.494
